憨豆特工3 Johnny English Strikes Again,https://movie.douban.com/subject/27073234/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2538352472.jpg,大卫·科尔,喜剧,2018-11-23,法国 ,英语,6.4,53330
大象席地而坐,https://movie.douban.com/subject/27172891/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511811355.jpg,胡波,剧情,2018-02-16,中国大陆,汉语普通话,8.0,71375
摘金奇缘 Crazy Rich Asians,https://movie.douban.com/subject/26786642/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540295055.jpg,朱浩伟,喜剧,2018-11-30,美国,英语 ,6.1,72087
遗传厄运 Hereditary,https://movie.douban.com/subject/27621727/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518865763.jpg,阿里·艾斯特,悬疑,2018-01-21,美国,英语,7.1,74955
特工 공작,https://movie.douban.com/subject/26683421/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2528281606.jpg,尹钟彬,剧情,2018-05-11,韩国,韩语 ,8.5,72836
胡桃夹子和四个王国 The Nutcracker And The Four Realms,https://movie.douban.com/subject/26741061/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537214991.jpg,拉斯·霍尔斯道姆,奇幻,2018-11-02,美国,英语,6.0,47955
胖子行动队,https://movie.douban.com/subject/27149818/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2526215398.jpg,包贝尔,喜剧,2018-09-30,中国大陆,汉语普通话,4.2,52763
祈祷落幕时 祈りの幕が下りる時,https://movie.douban.com/subject/27040737/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2552073598.jpg,福泽克雄,剧情,2019-04-12,日本,日语,8.0,68470
过春天,https://movie.douban.com/subject/27191431/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549537782.jpg,白雪,剧情,2019-03-15,中国大陆,汉语普通话 ,7.9,70609
我的间谍前男友 The Spy Who Dumped Me,https://movie.douban.com/subject/26999424/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533822396.jpg,苏珊娜·福格尔,喜剧,2018-10-19,美国 ,英语 ,6.3,39294
